Q9f 1,Q9f 2,Q9f 3,Q9f 4,Q9f 5,Q9f 6,Q9f 7,Q9f 8,Q9f 9,Q9f 10,Q9f 11,Q9f 12,Q9f 13,Q9f 14,Q9f 15,Q9f 16
Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,N/A or Don't Remember,Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Not Satisfied,Very Dissatisfied,N/A or Don't Remember,Satisfied
Not Satisfied,Not Satisfied,Not Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Not Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Satisfied,N/A or Don't Remember,Satisfied,N/A or Don't Remember,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,N/A or Don't Remember,Satisfied,Very Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,N/A or Don't Remember,Very Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,N/A or Don't Remember,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,N/A or Don't Remember,Very Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied
Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Not Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,N/A or Don't Remember,N/A or Don't Remember,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Satisfied,Not Satisfied,N/A or Don't Remember,N/A or Don't Remember,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
,,,,,,,,,,,,,,,
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Very Satisfied,Satisfied,N/A or Don't Remember,N/A or Don't Remember,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied
,,,,,,,,,,,,,,,
Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Not Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,Very Satisfied,Very Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Not Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied
Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Very Dissatisfied,Not Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Satisfied,Not Satisfied,Very Dissatisfied,Not Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Satisfied,Not Satisfied
Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied
Satisfied,Satisfied,Very Satisfied,Not Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied
Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Not Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,Not Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Not Satisfied,Not Satisfied
Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied
Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,N/A or Don't Remember,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied
,,,,,,,,,,,,,,,
Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Not Satisfied,Not Satisfied,Satisfied,Satisfied
Very Satisfied,Not Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Very Satisfied,Satisfied,Not Satisfied,Not Satisfied,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Satisfied,Satisfied
Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Very Satisfied,Not Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,N/A or Don't Remember,N/A or Don't Remember,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not Satisfied,Not Satisfied,Not Satisfied,Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Not Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied,Not Satisfied,Very Dissatisfied,Very Satisfied,N/A or Don't Remember,N/A or Don't Remember,Not Satisfied,Satisfied
Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,Not Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Dissatisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,N/A or Don't Remember,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Not Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A or Don't Remember,Satisfied,Not Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied
Satisfied,Satisfied,Not Satisfied,Satisfied,Not Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not Satisfied,Not Satisfied
Not Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Dissatisfied,Very Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Very Satisfied,Satisfied,N/A or Don't Remember,N/A or Don't Remember
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied
Very Satisfied,Satisfied,N/A or Don't Remember,N/A or Don't Remember,N/A or Don't Remember,Satisfied,N/A or Don't Remember,Satisfied,N/A or Don't Remember,Satisfied,Very Satisfied,Satisfied,Not Satisfied,Not Satisfied,N/A or Don't Remember,N/A or Don't Remember
Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Not Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Not Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied
,,,,,,,,,,,,,,,
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied
Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
,,,,,,,,,,,,,,,
Satisfied,Satisfied,Satisfied,N/A or Don't Remember,N/A or Don't Remember,Not Satisfied,Not Satisfied,Satisfied,Very Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Not Satisfied,Not Satisfied,Very Dissatisfied,Satisfied
Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Not Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Not Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Not Satisfied,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied
Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied
Satisfied,Satisfied,N/A or Don't Remember,Very Satisfied,Satisfied,N/A or Don't Remember,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Very Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,N/A or Don't Remember,Very Satisfied,Very Satisfied,Very Satisfied,Not Satisfied,Not Satisfied
,,,,,,,,,,,,,,,
Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Not Satisfied,Satisfied,Very Satisfied,Very Satisfied,N/A or Don't Remember,N/A or Don't Remember,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,N/A or Don't Remember,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied
Very Satisfied,Satisfied,Satisfied,Not Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Very Satisfied,N/A or Don't Remember,Very Satisfied,Very Satisfied,Very Satisfied
Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied
Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
,,,,,,,,,,,,,,,
